OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PCT_RENTER_OCC_UNITS,HCV_PUBLIC_PCT,SHAPE_Length,SHAPE_Area
57680,37077970701,37,077,970701,133,"Raleigh-Durham-Cary, NC  ",,,,0.675430836523312,0.0188267306631015
57681,37171930201,37,171,930201,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.344568598460978,0.00383535227774762
57682,37171931101,37,171,931101,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.39448150502459,0.006081354901191
57683,37171930501,37,171,930501,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.233091928400421,0.00179397742781259
57684,37171930801,37,171,930801,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.703923120484443,0.0242100973298575
57685,37171930902,37,171,930902,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.370661677939104,0.00439528869763711
57686,37183053803,37,183,053803,133,"Raleigh-Durham-Cary, NC  ",,,,0.167151893718906,0.0011943768992511
57687,37183054209,37,183,054209,133,"Raleigh-Durham-Cary, NC  ",63,27.15999985,27.15999985,0.195872161272579,0.00150336924295099
57688,37193960700,37,193,960700,66,"Greensboro--Winston-Salem--High Point, NC  ",109,19.45999908,19.45999908,0.248877398724029,0.00198080763468759
57689,37193960400,37,193,960400,66,"Greensboro--Winston-Salem--High Point, NC  ",30,5.28999996,5.28999996,1.01067162604965,0.0338996205159923
57690,37193960900,37,193,960900,66,"Greensboro--Winston-Salem--High Point, NC  ",22,4.5999999,4.5999999,1.3880217843239,0.0468941402799911
57691,37097060901,37,097,060901,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.578574318508918,0.0158136886408518
57755,37067002808,37,067,002808,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.227646267070997,0.0019842463590808
57756,37067003311,37,067,003311,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.103312463949293,0.000571842187928694
57757,37067004013,37,067,004013,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.1473937581923,0.000556907241132905
57758,37081015703,37,081,015703,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.113394031144332,0.000616336122689724
57759,37131920401,37,131,920401,133,"Raleigh-Durham-Cary, NC  ",27,4.8499999,4.8499999,0.589237256303153,0.013342667902221
57760,37157040602,37,157,040602,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.56218958311763,0.00906146673449939
57761,37005950200,37,005,950200,66,"Greensboro--Winston-Salem--High Point, NC  ",122,21.39999962,21.39999962,0.454103772321786,0.00786844301492673
57762,37005950100,37,005,950100,66,"Greensboro--Winston-Salem--High Point, NC  ",42,11.22999954,11.22999954,0.789843140759868,0.0239466501920665
57763,37005950300,37,005,950300,66,"Greensboro--Winston-Salem--High Point, NC  ",22,8.52999973,8.52999973,1.01669713615518,0.029617487021829
57764,37183053724,37,183,053724,133,"Raleigh-Durham-Cary, NC  ",24,4.23999977,4.23999977,0.135695801359318,0.000592920315193891
57765,37097060801,37,097,060801,31,"Charlotte-Gastonia-Salisbury, NC-SC  ",,,,0.497977105563796,0.0134697312500788
57766,37171930901,37,171,930901,66,"Greensboro--Winston-Salem--High Point, NC  ",31,4.36999989,4.36999989,0.237685054065748,0.00225350838104973
57767,37127010602,37,127,010602,133,"Raleigh-Durham-Cary, NC  ",,,,0.20796576304924,0.0017659222841293
57768,37127010601,37,127,010601,133,"Raleigh-Durham-Cary, NC  ",32,8.38000011,8.38000011,0.070384991788602,0.000264085453914045
57769,37127010504,37,127,010504,133,"Raleigh-Durham-Cary, NC  ",,,,0.210075655812163,0.0016480067524355
57770,37151031602,37,151,031602,66,"Greensboro--Winston-Salem--High Point, NC  ",11,3.8499999,3.8499999,0.0892096116513564,0.000259721296071575
57771,37011930100,37,011,930100,10,"Asheville-Brevard, NC  ",11,3.31999993,3.31999993,0.665957824002691,0.0093383281235498
57772,37011930301,37,011,930301,10,"Asheville-Brevard, NC  ",79,20.10000038,20.10000038,0.503471747678275,0.00918445660714669
57773,37011930302,37,011,930302,10,"Asheville-Brevard, NC  ",66,22.53000069,22.53000069,0.689127100642755,0.0113045998970875
57774,37011930400,37,011,930400,10,"Asheville-Brevard, NC  ",,,,0.644878077694937,0.013663766983179
57775,37011930200,37,011,930200,10,"Asheville-Brevard, NC  ",,,,0.6960794150493,0.0206462320396091
57776,37143920202,37,143,920202,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",17,4.90999985,4.90999985,0.807369932047386,0.0109903261578722
57847,37081016101,37,081,016101,66,"Greensboro--Winston-Salem--High Point, NC  ",,,,0.134394472815591,0.000707797977050031
57848,37029950101,37,029,950101,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",,,,1.24958272923467,0.0391237905019764
57849,37091950402,37,091,950402,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",93,10.60000038,10.60000038,0.376035002906862,0.0061207542471405
57850,37009970800,37,009,970800,10,"Asheville-Brevard, NC  ",32,8.39999962,8.39999962,1.27255718252798,0.0321699740941044
57851,37041930200,37,041,930200,173,"Virginia Beach-Norfolk-Newport News, VA-NC   ",28,4.86000013,4.86000013,0.996644709756115,0.0312287319130673
57852,37135011205,37,135,011205,133,"Raleigh-Durham-Cary, NC  ",37,2.50999999,2.50999999,0.231177668918344,0.000851722367378164
57855,37067003703,37,067,003703,66,"Greensboro--Winston-Salem--High Point, NC  ",29,7.13000011,7.13000011,0.141599616858113,0.00124147280202547
57856,37067003105,37,067,003105,66,"Greensboro--Winston-Salem--High Point, NC  ",21,8.23999977,8.23999977,0.248492333119815,0.00206989405150951
57857,37081010900,37,081,010900,66,"Greensboro--Winston-Salem--High Point, NC  ",63,7.71999979,7.71999979,0.0584421112932776,0.000147629206540936
57858,37081011102,37,081,011102,66,"Greensboro--Winston-Salem--High Point, NC  ",53,12.27000046,12.27000046,0.0808695974645383,0.000304236820921419
57860,37067003003,37,067,003003,66,"Greensboro--Winston-Salem--High Point, NC  ",43,17,17,0.20680471594313,0.00162854373576848
57861,37067003004,37,067,003004,66,"Greensboro--Winston-Salem--High Point, NC  ",29,6.4000001,6.4000001,0.20800885030901,0.000844499787611217
57862,37183053720,37,183,053720,133,"Raleigh-Durham-Cary, NC  ",,,,0.154880899658602,0.00107322925646988
57863,37185950101,37,185,950101,133,"Raleigh-Durham-Cary, NC  ",,,,0.69508837644793,0.0130661156463829
57864,37067003309,37,067,003309,66,"Greensboro--Winston-Salem--High Point, NC  ",33,4.78000021,4.78000021,0.198004266395194,0.00148379931911974
